Date,Place,Suburb,Arrival time,Departure time,Type
Tuesday 23 March,Westfield (Dymocks and Woolworths),North Lakes,11am,12pm,Historical casual contact
Tuesday 23 March,Nutrition Warehouse,Maroochydore,11.15am,11.30am,Historical casual contact
Tuesday 23 March,Brightwater Medical Centre atBrightwater Shopping Centre,Mountain Creek,12pm,12.45pm,Historical casual contact
Tuesday 23 March,Sushi Train,Carseldine,12pm,12.45pm,Historical casual contact
Tuesday 23 March,Zambrero,Lawnton,12.51pm,12.55pm,Historical casual contact
Tuesday 23 March,QML Pathology at Brightwater Shopping Centre,Mountain Creek,1pm,1.15pm,Historical casual contact
Tuesday 23 March,Lawnton Fruit Market,Lawnton,1.57pm,2.05pm,Historical casual contact
Tuesday 23 March,Redcliffe Train Line – Lawnton to Kippa-Ring,Lawnton to Kippa Ring,2.00pm,3.00pm,Historical casual contact
Tuesday 23 March,Hamilton Hotel,Hamilton,2.20pm,5.23pm,Historical casual contact
Tuesday 23 March,Rosalie Gourmet Market Deli,Rosalie,2:30pm,2:45pm,Historical casual contact
Tuesday 23 March,Outside Westpac - Peninsula Fair Shopping Centre 272 Anzac Avenue,Kippa-Ring,3pm,3.30pm,Historical casual contact
Tuesday 23 March,Poolwerx Strathpine,Strathpine,3.15pm,3.27pm,Historical casual contact
Tuesday 23 March,Nellas Gourmet Tucker,Lawnton,3.37pm,3.47pm,Historical casual contact
Tuesday 23 March,Woolworths,Strathpine,4pm,4.30pm,Historical casual contact
Tuesday 23 March,Dan Murphy’s,Strathpine,7.26pm,7.36pm,Historical casual contact
Wednesday 24 March,Tafe,Southbank,8am,4.30pm,Historical casual contact
Wednesday 24 March,IGA,Milton,9:05am,9:15am,Historical casual contact
Wednesday 24 March,Milton Fruit Bowl,Milton,9:20am,9:30am,Historical casual contact
Wednesday 24 March,Oliver’s Real food - Dine in Patrons,Maryborough West,11.50am,12.09pm,Historical casual contact
Wednesday 24 March,Redcliffe Train Line – Lawnton to Kippa-Ring,Lawnton to Kippa Ring,2.30pm,3.30pm,Historical casual contact
Wednesday 24 March,Lawnton Country Markets,Lawnton,2.36pm,2.43pm,Historical casual contact
Wednesday 24 March,Coles Everton ParkEverton Plaza Shopping Centre,Everton Park,3.24pm,3.33pm,Historical casual contact
Wednesday 24 March,Uroko Sushi on Train,Everton Park,7.19pm,7.33pm,Historical casual contact
